里程,替代航线平均价格,替代航线平均运量,替代航线平均里程,价格,运量
1208,1773.300049,664,1207.0,1412.0,26
2525,2267.3601559999997,892,2600.600098,1844.199951,14
1742,1521.442801,297,1793.0,1700.0,24
644,1100.699951,87,745.0,710.900024,43
1418,1269.099976,659,1419.0,1312.900024,18
1770,1568.727273,283,1837.636353,1318.0,244
941,1017.3000490000001,167,1000.0,751.700012,630
950,1372.325073,425,1077.5,635.0,2230
1085,1206.0,272,1204.0,900.7999880000001,102
2507,2011.771577,621,2573.5239260000003,1778.9000239999998,427
1041,1494.5665689999998,917,1162.666626,1357.099976,16
1650,1639.866536,433,1744.1666260000002,1267.199951,258
2765,2458.380078,938,2821.399902,2617.100098,14
1258,2094.449951,583,720.5,1098.5,26
1888,1773.1666670000002,1176,2014.0,1433.699951,30
1271,1549.5,1142,1312.0,1365.699951,51
599,1034.400024,44,623.0,582.5,667
977,1255.160059,300,1040.800049,941.900024,1168
692,1075.099976,142,773.5,653.5,1081
2741,2286.8,1173,2044.199951,1890.9000239999998,3
1524,1577.483236,698,1629.333374,1436.199951,275
1256,1527.6000980000001,1107,1260.0,1576.300049,224
1366,1551.400024,1084,1365.0,1417.699951,111
2084,2293.350098,955,2169.5,2302.0,31
1255,1292.6499019999999,149,1294.0,1024.5,36
913,1092.199951,559,961.0,1042.599976,153
2532,2312.524902,638,2544.0,2371.300049,14
1121,1268.800049,553,1213.0,1005.400024,34
2607,2431.100098,1413,2625.333252,2326.399902,14
996,1209.933268,366,1095.333374,687.799988,736
1008,1262.866699,261,1117.333374,695.799988,1378
455,1000.2999880000001,89,628.0,627.799988,525
1122,1257.050049,344,1270.0,974.7999880000001,19
1089,1325.559896,397,1170.533325,915.099976,3803
2049,1813.6554899999999,489,2104.111084,1412.699951,651
1184,1298.900024,152,1251.25,824.799988,1266
1493,1688.699951,324,1626.0,879.5,207
1431,1509.540039,760,1515.099976,1181.800049,767
1389,1373.6800779999999,279,1445.800049,1080.699951,668
1634,1416.128488,288,1693.714233,970.5,742
1681,1097.199951,130,1787.0,1274.699951,92
796,1120.900024,331,993.5,830.700012,32
1462,1356.022244,284,1538.222168,785.400024,539
2991,2097.074951,662,3062.75,1816.5999760000002,302
1622,1751.8499760000002,1224,1768.0,1559.400024,23
1732,1383.599976,667,1741.0,1482.599976,23
740,940.5499880000001,180,823.5,536.099976,526
623,909.0,811,790.0,891.5,66
1050,1277.400024,372,1217.0,899.900024,608
899,795.0,280,953.0,962.5,38
464,881.900024,46,629.0,601.700012,1130
1661,1785.5201170000003,741,1734.199951,1559.599976,178
1153,1126.400024,102,1203.0,1074.900024,48
1211,1085.0,291,1325.0,1163.900024,58
863,1265.449951,361,977.5,801.700012,215
2397,2300.9,782,2425.199951,2031.0999760000002,17
1605,1638.128627,834,1697.1428219999998,1622.199951,99
